bookId,title,author,Year,Price$
203,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,2013,11
212,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,2016,30
35,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,2016,12
28,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,2019,18
148,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,2017,30
452,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,2016,22
459,Harry Potter Coloring Book,Scholastic,2015,9
164,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,2016,52
250,Have a Little Faith: A True Story,Mitch Albom,2009,4
287,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,2011,10
189,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,2012,10
232,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,2016,14
550,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,2017,14
382,Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,2018,22
285,How to Win Friends & Influence People,Dale Carnegie,2014,11
477,How to Win Friends & Influence People,Dale Carnegie,2015,11
376,How to Win Friends & Influence People,Dale Carnegie,2016,11
500,How to Win Friends & Influence People,Dale Carnegie,2017,11
266,How to Win Friends & Influence People,Dale Carnegie,2018,11
379,Howard Stern Comes Again,Howard Stern,2019,16
288,Humans of New York,Brandon Stanton,2013,15
69,Humans of New York,Brandon Stanton,2014,15
499,Humans of New York : Stories,Brandon Stanton,2015,17
210,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,2013,17
434,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,2019,7
306,"I, Alex Cross",James Patterson,2009,7
159,If Animals Kissed Good Night,Ann Whitford Paul,2017,4
544,If Animals Kissed Good Night,Ann Whitford Paul,2019,4
527,If I Stay,Gayle Forman,2014,9
71,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,2011,21
512,Inferno,Dan Brown,2013,14
495,Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,2011,20
102,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy,Jennifer Smith,2019,13
414,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy,Jennifer Smith,2018,13
454,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,2019,12
193,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,2011,8
213,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,2012,8
390,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,2013,8
407,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,2014,8
147,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,2015,8
209,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,2016,8
418,JOURNEY TO THE ICE P,RH Disney,2014,0
243,Joyland (Hard Case Crime),Stephen King,2013,12
397,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,2017,17
511,Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,2013,12
433,Killing Kennedy: The End of Camelot,Bill O'Reilly,2012,25
515,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,2011,10
154,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,2012,10
109,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,2014,6
131,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,2015,5
202,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,2016,6
215,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,2018,8
242,Knock-Knock Jokes for Kids,Rob Elliott,2013,4
313,Knock-Knock Jokes for Kids,Rob Elliott,2014,4
322,Knock-Knock Jokes for Kids,Rob Elliott,2015,4
184,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,2018,13
456,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2013,4
387,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2014,4
361,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2015,4
150,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2016,4
257,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2017,4
391,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,2013,13
363,Leonardo da Vinci,Walter Isaacson,2017,21
263,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,2018,6
284,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,2009,15
14,Life,Keith Richards,2010,18
470,Little Bee: A Novel,Chris Cleave,2010,10
19,Little Blue Truck,Alice Schertle,2014,0
162,Little Fires Everywhere,Celeste Ng,2018,12
300,Looking for Alaska,John Green,2014,7
342,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,2011,13
516,Love You Forever,Robert Munsch,2014,5
80,Love You Forever,Robert Munsch,2015,5
